NDistance;NTime;D*T
3,473684211;10,55816425;36,67572843
1,75862069;2,975642352;5,233026206
1;2,549423071;2,549423071
1,692307692;3,624880772;6,134413615
1,590909091;2,482498397;3,949429267
3,176470588;5,720420304;18,17074685
1,25;2,730483472;3,41310434
1,537313433;2,486352707;3,822303415
1;1,642441804;1,642441804
1,24;2,247459221;2,786849434
1,131578947;1,768703555;2,001427707
1,202898551;1,671626948;2,010797633
1,714285714;3,869007145;6,632583677
1,117647059;1,6082094;1,797410505
1,088235294;1,635357948;1,779654237
1;1,014580727;1,014580727
1,217391304;1,91935477;2,336605808
1,263157895;2,031322906;2,565881565
1;3,56747018;3,56747018
1,827586207;3,302545671;6,035686916
1,325;2,507157266;3,321983378
1,0625;1,928333454;2,048854295
1;1,556781663;1,556781663
1,37037037;3,454613332;4,734099752
1;1,003819108;1,003819108
1;1,531145292;1,531145292
1,528301887;2,610615874;3,989809166
1,012048193;2,414982893;2,444079073
1;2,365904808;2,365904808
