NDistance;NTime;D*T;;RL;UD;;
1,020408163;4,100398579;4,184080183;;220;242;;212,75
1,037037037;7,426495905;7,701551309;;209;229;;159,5625
1,283950617;2,476149518;3,179253702;;188;218;;180,8375
1,109589041;2,089259984;2,318219982;;179;207;;
1;2,240747564;2,240747564;;170;197;;
1;1,128728357;1,128728357;;170;187;;
1,590909091;4,556217031;7,248527095;;170;177;;
2,96969697;6,077448455;18,04818026;;170;168;;
1;2,553388133;2,553388133;;170;190,4;;
2,166666667;3,635939161;7,877868182;;170;180,88;;
1,666666667;3,679163456;6,131939093;;170;171,836;;
1;1,002453566;1,002453566;;170;163,2442;;
1;1,488050645;1,488050645;;170;155,08199;;
1,722222222;3,71476743;6,397655018;;170;180;;
1;1,483277067;1,483277067;;170;171;;
1,177777778;1,850023535;2,178916607;;;;;
1;1,607190573;1,607190573;;;;;
1,604651163;2,82082347;4,526437661;;;;;
1;2,153260001;2,153260001;;;;;
1,15;1,80710125;2,078166437;;;;;
