NDistance;NTime;;UD;RL
1;4,876552741;;293;200
1;1,681994498;;278;190
1,038461538;7,696107351;;264;180,5
1,31884058;2,899824778;;251;171
1;1,215673685;;275;162
1,75;4,711128771;;261,44;179,8
1;0,989830494;;248;171
1,368421053;2,330722621;;235;200
1,666666667;2,597844104;;224;190
2,5625;6,258346885;;241;180
1,978723404;3,078545307;;229;171
3,458333333;8,363032043;;265;171
0;1;;301;171
1;2,446945478;;285,95;171
9,25;18,10388118;;271;171
1;1,264459292;;258;171
1;5,706933339;;245;171
1,740740741;2,759803666;;275;171
1,43902439;1,939551947;;261;171
2,25;4,980044246;;248;171
1;1,625392016;;235;171
1;1,416455921;;223;171
1,347826087;2,535328243;;245;171
1,545454545;2,285669717;;263;171
1,153846154;1,739653441;;250;171
1;1,552271843;;;
1,615384615;2,050769971;;;
4,133333333;6,673720996;;;
1,769230769;4,250699373;;;
1,196078431;2,348136481;;;
1;1,42823088;;;
1;2,09218661;;;
1;1,462334991;;;
1,363636364;2,462800416;;;
1,235294118;1,874084473;;;
1,333333333;2,13516295;;;
1,151898734;1,641761532;;;
2;3,301369292;;;
1,214285714;2,288115479;;;
1,258064516;1,651134491;;;
1,135416667;2,084797497;;;
1;1,449346505;;;
1,264150943;1,879635667;;;
1,857142857;3,807114192;;;
1,611111111;2,488871084;;;
1,4;2,107313315;;;
1,666666667;2,927118435;;;
1,214285714;1,596005218;;;
1,162162162;2,117613006;;;
1,125;1,675015241;;;
3;4,086925983;;;
1,431372549;2,5825263;;;
1;1,830951061;;;
1;1,416866129;;;
1,425531915;4,258587411;;;
1;1,805408398;;;
1;1,317867373;;;
3,25;4,894758463;;;
1;1,545176462;;;
1,769230769;2,344666139;;;
1;1,31251387;;;
1,375;2,072652429;;;
1;1,718740066;;;
2;2,962786555;;;
1;1,608587674;;;
1,125;1,570283522;;;
1,081632653;1,60040145;;;
1,526315789;2,802694722;;;
1,4;2,03111111;;;
1,305084746;1,635887784;;;
1;3,811299801;;;
1;1,497155399;;;
1,048780488;1,568713944;;;
1,25;1,902314467;;;
1,327868852;2,061322126;;;
1,363636364;2,101052729;;;
1,294117647;1,833381793;;;
1,62962963;3,111537783;;;
1,37037037;2,291464452;;;
1,625;3,395241946;;;
