NDistance;NTime;D*T;;RL;UD;;;
1,37037037;2,380772962;3,262540725;;196;259;;;246,3333333
3,869565217;8,716835665;33,73036409;;186;246;;;184,75
1,844444444;4,190629323;7,729382974;;177;234;;;209,3833333
2,243243243;4,064658912;9,118018641;;168;222;;;
1,586206897;3,457155351;5,48376366;;160;211;;;
3,555555556;5,010954009;17,81672537;;160;211;;;
1,736842105;3,379016299;5,868817782;;160;200;;;
4,75;8,362154563;39,72023418;;160;190;;;
3,428571429;9,557781901;32,76953795;;160;181;;;
1;2,035151389;2,035151389;;160;209;;;
1,264367816;2,30542816;2,914909167;;160;198,55;;;
1;2,019196413;2,019196413;;160;188,6225;;;
1,510638298;2,32673574;3,514856118;;160;179,191375;;;
1,981132075;3,786416414;7,501391008;;160;209;;;
1;1,371055047;1,371055047;;160;198,55;;;
1,112676056;1,653390401;1,839687911;;;;;;
1,5;4,97194171;7,457912564;;;;;;
1,764705882;3,009063496;5,310112052;;;;;;
1,421052632;1,971535264;2,801655376;;;;;;
1,303030303;2,063576669;2,688902933;;;;;;
3,068965517;6,913967626;21,21872823;;;;;;
1;1,318892931;1,318892931;;;;;;
3,1875;6,268104687;19,97958369;;;;;;
1;1,764166303;1,764166303;;;;;;
1,0875;2,507406861;2,726804961;;;;;;
1;1,460455215;1,460455215;;;;;;
