NDistance;NTime;UD;RL
1,866666667;4,449902217;293;190
2,571428571;4,628109932;264;180
1,8;2,779765606;251;171
3,390243902;4,882122191;238;162,9
1,063063063;1,803429621;226;173
1,328358209;1,935209552;250;195
2,659090909;4,546106404;238;185
1,632352941;2,941541602;226;176
1;4,017761283;248;167
2,25;4,519108832;236;184
0;1;224;200
2,3;3,164483547;213;190
2,285714286;4,311884301;263;181
1;1,745502892;250;172
2,916666667;6,330865423;237;187
3,464285714;7,177677155;225;181
1,264367816;2,309573327;214;172
2,1;4,072248936;232;187
1,470588235;2,106450165;220;172
1,259259259;1,932132597;209;188
1,327272727;2,826156573;199;188
1,307692308;4,192235592;216;188
1,523076923;2,470425056;272;188
1,549019608;3,249096263;245;188
1,533333333;2,18132019;233;188
1,333333333;2,019858003;253;188
1,016393443;3,287111306;240;188
1;1,228947904;228;188
1;1,560645739;;
1;1,534028264;;
1,222222222;2,204786672;;
1,018518519;3,715506483;;
1;2,649680392;;
1;2,040931472;;
1;1,354664087;;
13,8;37,72353029;;
1;1,003545854;;
1,476190476;3,056409359;;
1,117647059;1,916499979;;
2,625;4,921540618;;
1,25;2,279301015;;
1,018691589;1,472656638;;
1,235294118;2,125022318;;
1;1,611197094;;
2,1;3,711823523;;
1,265957447;2,133519244;;
1,355263158;2,637345791;;
1;6,983948747;;
1,529411765;2,655531519;;
1,375;2,758224979;;
1;1,942128729;;
1,909090909;4,101220911;;
1;1,841602249;;
1;1,617583128;;
1,302631579;2,640293554;;
1;1,712829188;;
1,153846154;2,287993614;;
19;30,14704943;;
1;1,603471618;;
1;2,12538593;;
1,076923077;2,084738841;;
1;1,000769138;;
1;2,008363197;;
1,344827586;3,453729482;;
1,235294118;2,003105879;;
2,02173913;4,359994557;;
1,578947368;5,273190549;;
2,638888889;5,569266412;;
2,323529412;5,899988202;;
3;6,002989032;;
1,235294118;1,692268848;;
1,666666667;3,842846255;;
1;1,744270367;;
2,454545455;4,548322071;;
1,117647059;1,970312736;;
1;1,248751755;;
1,101123596;2,249229437;;
1;1,59071383;;
1;2,120822642;;
1,22972973;2,703465674;;
