tijd;YSignaal
0.2;1.708984375
0.4;1.7333984375
0.6;1.923828125
0.8;3.4521484375
1;3.0517578125
1.2;2.12890625
1.4;1.8701171875
1.6;1.73828125
1.8;1.7138671875
2;1.6748046875
2.2;1.6748046875
2.4;1.630859375
2.6;1.62109375
2.8;1.630859375
3;1.640625
3.2;1.6015625
3.4;2.63671875
3.6;3.4521484375
3.8;3.1982421875
4;1.97265625
4.2;1.708984375
4.4;1.6162109375
4.6;1.5234375
4.8;1.4599609375
5;1.46484375
5.2;1.4404296875
5.4;1.4013671875
5.6;1.34765625
5.8;1.3427734375
6;1.3623046875
6.2;1.34765625
6.4;3.125
6.6;3.4521484375
6.8;3.3056640625
7;1.81640625
7.2;1.4599609375
7.4;1.3623046875
7.6;1.328125
7.8;1.2841796875
8;1.220703125
8.2;1.23046875
8.4;1.240234375
8.6;1.2109375
8.8;1.19140625
9;1.2109375
9.2;3.4521484375
9.4;3.4521484375
9.6;2.6904296875
9.8;1.728515625
10;1.40625
10.2;1.26953125
10.4;1.1181640625
10.6;1.1181640625
10.8;1.103515625
11;1.0888671875
11.2;1.0595703125
11.4;1.064453125
11.6;1.0986328125
11.8;1.1083984375
12;1.0791015625
12.2;1.0693359375
12.4;3.0712890625
12.6;3.4521484375
12.8;3.0126953125
13;1.669921875
13.2;1.23046875
13.4;1.0986328125
13.6;1.0205078125
13.8;0.9765625
14;0.9912109375
14.2;0.908203125
14.4;0.932617188
14.6;0.952148438
14.8;0.927734375
15;0.72265625
15.2;0.068359375
15.4;0.903320313
15.6;3.452148438
15.8;0.903320313
16;0
16.2;1.010742188
16.4;0.786132813
16.6;0.756835938
16.8;0.708007813
17;0.747070313
17.2;0.854492188
17.4;0.83984375
17.6;0.854492188
17.8;0.834960938
18;0.83984375
18.2;0.883789063
18.4;0.864257813
18.6;3.452148438
18.8;3.383789063
19;1.8359375
19.2;1.147460938
19.4;0.981445313
19.6;0.922851563
19.8;0.883789063
20;0.859375
20.2;0.854492188
20.4;0.854492188
20.6;0.849609375
20.8;0.864257813
21;0.830078125
21.2;0.830078125
21.4;0.859375
21.6;0.874023438
21.8;0.849609375
22;0.844726563
22.2;3.452148438
22.4;3.403320313
22.6;2.006835938
22.8;1.201171875
23;0.986328125
23.2;0.913085938
23.4;0.854492188
23.6;0.810546875
23.8;0.810546875
24;0.830078125
