tijd;XSignaal
0.2;2.6318359375
0.4;2.509765625
0.6;2.509765625
0.8;2.5
1;1.3671875
1.2;1.1279296875
1.4;1.2060546875
1.6;1.240234375
1.8;1.2451171875
2;1.3232421875
2.2;1.3720703125
2.4;1.396484375
2.6;2.685546875
2.8;2.7734375
3;2.7685546875
3.2;2.7490234375
3.4;2.724609375
3.6;2.7099609375
3.8;2.734375
4;3.505859375
4.2;3.6962890625
4.4;3.759765625
4.6;3.8037109375
4.8;3.7451171875
5;3.6767578125
5.2;3.5888671875
5.4;2.36328125
5.6;2.3974609375
5.8;2.3583984375
6;2.4072265625
6.2;2.4853515625
6.4;2.51953125
6.6;2.509765625
6.8;2.509765625
7;2.509765625
7.2;1.201171875
7.4;1.25
7.6;1.30859375
7.8;1.34765625
8;1.3671875
8.2;1.4306640625
8.4;1.42578125
8.6;2.8759765625
8.8;2.822265625
9;2.8173828125
9.2;2.783203125
9.4;2.7783203125
9.6;2.7734375
9.8;2.998046875
10;3.818359375
10.2;3.7890625
10.4;3.720703125
10.6;3.701171875
10.8;3.6328125
11;3.6279296875
11.2;2.8955078125
11.4;2.4267578125
11.6;2.4560546875
11.8;2.4755859375
12;2.470703125
12.2;2.4462890625
12.4;2.4560546875
12.6;2.412109375
12.8;1.19140625
13;1.259765625
13.2;1.2255859375
13.4;1.2939453125
13.6;1.328125
13.8;1.376953125
14;1.4306640625
14.2;1.5087890625
14.4;2.861328125
14.6;2.8173828125
14.8;2.8076171875
15;2.8076171875
15.2;2.802734375
15.4;2.79296875
15.6;3.1982421875
15.8;3.8720703125
16;3.8671875
16.2;3.759765625
16.4;3.7255859375
16.6;3.73046875
16.8;3.7060546875
17;2.9833984375
17.2;2.5146484375
17.4;2.412109375
17.6;2.4560546875
17.8;2.4365234375
18;2.44140625
18.2;2.431640625
18.4;1.6845703125
18.6;1.2255859375
18.8;1.2841796875
19;1.3525390625
19.2;1.3525390625
19.4;1.3916015625
19.6;1.4404296875
19.8;2.3095703125
20;2.744140625
20.2;2.7294921875
20.4;2.8271484375
20.6;2.7978515625
20.8;2.7490234375
21;2.7294921875
21.2;2.6904296875
21.4;3.876953125
21.6;3.857421875
21.8;3.76953125
22;3.7548828125
