ndist;goals
4.16;1
1.00;2
2.76;3
5.00;4
1.16;5
1.55;6
2.87;7
1.00;8
1.00;9
1.1;10
1;11
1.06;12
1;13
1.51;14
2.27;15
2.3;16
1.92;17
1.25;18
1;19
1;20
1.03;21
1.24;22
1;23
1.5;24
3.4;25
1.02;26
1.23;27
1.27;28
1.36;29
4.75;30
2.05;31
2.16;32
1.52;33
1.9;34
4.33;35
1;36
2.44;37
2.61;38
1;39
5.4;40
1.21;41
1;42
1.1;43
1.77;44
1.93;45
1.17;46
1;47
1.35;48
1;49
1.17;50
2.24;51
1.14;52
1.8;53
1.62;54
1;55
2.37;56
2.09;57
2.1;58
1.24;59
1.71;60
2.26;61
1.93;62
1.59;63
1.78;64
1;65
1;66
3.16;67
1.43;68
2.392857143;69
1.814814815;70
3.24;71
1;72
1.225352113;73
1.086956522;74
1.093023256;75
1.655737705;76
1;77
4.666666667;78
4.05;79
1.428571429;80
2.55;81
1.72;82
3.05;83
1.238095238;84
1.127659574;85
1;86
2.857142857;87
1;88
